protein	location	source(s)
USP22	Nucleoplasm	HPA;GO
ZBTB22	Nucleoplasm	HPA
COL28A1	Endoplasmic reticulum	GO
HYKK	Mitochondria	GO
COQ10B	Cytosol	HPA
PRKAR2B	Golgi apparatus	HPA
GIPC3	Golgi apparatus	HPA
GSDMA	Cytosol	HPA
SKP2	Nucleoli	HPA
SPRR3	Cytosol	GO
WNT3	Endoplasmic reticulum	GO
ARPP19	Nucleoplasm	GO
CNTD1	Nucleoplasm	HPA
LLPH	Nucleoplasm	HPA;GO
TMEM238L	Endoplasmic reticulum	GO
DAZAP1	Nucleoplasm	HPA
SKA1	Centrosome	HPA;GO
STK19	Nucleoplasm	HPA
TGFBR2	Cytosol	GO
SKP1	Nucleoplasm	HPA;GO
SCNN1G	Plasma membrane	HPA;GO
ALMS1	Mitochondria	HPA
TAF1D	Centrosome	HPA
ZNF433	Nucleoplasm	HPA
CENPQ	Nucleoplasm	HPA;GO
PCDHA4	Plasma membrane	HPA
UPF1	Cytosol	HPA;GO
USP6NL	Golgi apparatus	GO
CHST10	Cytosol	HPA
FN3KRP	Cytosol	GO
LYPD3	Plasma membrane	GO
TSPAN31	Microtubules	HPA
SLITRK5	Plasma membrane	GO
SCN9A	Plasma membrane	HPA;GO
C1orf43	Mitochondria	HPA;GO
GAS2L3	Microtubules	GO
UBR4	Plasma membrane	GO
METTL25B	Nucleoli	HPA
MICOS13	Mitochondria	HPA;GO
HOOK2	Cytosol	HPA
ALDH5A1	Mitochondria	HPA;GO
TRIM41	Cytosol	HPA
DNAJC28	Nucleoplasm	HPA
MBP	Plasma membrane	HPA
GRID2	Plasma membrane	GO
ENSG00000286235	Cytosol	HPA
OPHN1	Nucleoplasm	HPA
TCEANC2	Nucleoplasm	HPA
AMBRA1	Mitochondria	HPA;GO
SHLD1	Endoplasmic reticulum	HPA
TRIM52	Cytosol	GO
CLHC1	Nucleoli	HPA
HTR7	Golgi apparatus	GO
NOVA1	Nucleoplasm	HPA
NAT8B	Endoplasmic reticulum	HPA;GO
CT45A1	Nucleoli	HPA
ZMYM2	Nucleoplasm	HPA;GO
CFAP61	Cytosol	HPA
SLC26A9	Plasma membrane	GO
SNTB2	Plasma membrane	HPA;GO
LDHD	Mitochondria	GO
SP110	Nucleoplasm	HPA
MDFIC	Golgi apparatus	HPA
GUCD1	Nucleoplasm	HPA
BICDL1	Nucleoplasm	HPA
ASB9	Cytosol	GO
CADPS2	Centrosome	GO
CENPS	Nucleoplasm	GO
ZFHX3	Nucleoplasm	HPA;GO
HSP90B1	Plasma membrane	GO
CDC42BPB	Cytosol	GO
PFDN2	Mitochondria	HPA;GO
JAZF1	Nucleoli	HPA
DEFA4	Golgi apparatus	GO
ENSG00000265118	Plasma membrane	HPA
ZFP64	Nucleoplasm	HPA
COL2A1	Endoplasmic reticulum	GO
ABR	Cytosol	HPA;GO
TKFC	Nucleoplasm	HPA
NDUFA8	Mitochondria	HPA;GO
FRMD6	Plasma membrane	GO
DYNC1LI1	Microtubules	GO
FKBP1A	Golgi apparatus	HPA
AGA	Endoplasmic reticulum	GO
FASN	Cytosol	HPA;GO
PRKCA	Mitochondria	GO
H2BC10	Nucleoplasm	HPA;GO
SLC16A11	Endoplasmic reticulum	GO
DISC1	Intermediate filaments	HPA
STARD5	Cytosol	HPA;GO
TNPO1	Nucleoplasm	HPA
FAM167A	Mitochondria	HPA
ANKRD49	Golgi apparatus	HPA
SLC35G2	Plasma membrane	HPA;GO
NACAD	Nucleoplasm	HPA
ATP10D	Nucleoplasm	HPA
ADAM28	Plasma membrane	HPA
DUSP11	Nucleoplasm	HPA;GO
FAM72D	Plasma membrane	HPA
MSMO1	Endoplasmic reticulum	HPA;GO
PSMG2	Nucleoplasm	HPA
SMPD4	Nuclear membrane	HPA;GO
ATPAF1	Mitochondria	HPA
BCAR1	Cytosol	HPA;GO
XAB2	Nucleoplasm	HPA;GO
TMEM101	Plasma membrane	HPA
BCL2	Mitochondria	HPA;GO
ZNF630	Nucleoplasm	HPA
PSMA7	Nucleoplasm	GO
ZNF142	Nucleoplasm	HPA
TMEM176B	Nucleoplasm	HPA
MYO1C	Cytosol	GO
NLRX1	Mitochondria	HPA;GO
OPRD1	Plasma membrane	GO
PSMA2	Cytosol	GO
TOX	Nucleoli	HPA
NKTR	Cytosol	HPA
C15orf40	Nucleoplasm	HPA
TOP1	Nucleoplasm	HPA;GO
EXOSC2	Nucleoplasm	HPA;GO
TWF1	Plasma membrane	GO
HSP90AB1	Cytosol	HPA;GO
ANKLE2	Endoplasmic reticulum	HPA;GO
CCDC170	Golgi apparatus	HPA;GO
MSR1	Plasma membrane	GO
C2CD3	Primary cilium	HPA
UGT1A1	Endoplasmic reticulum	GO
PRDM13	Cytosol	HPA
RPS2	Cytosol	HPA;GO
TAF13	Nucleoplasm	HPA;GO
DDX53	Nucleoli	HPA
TEDC2	Nucleoplasm	HPA
AIPL1	Cytosol	HPA
TAT	Cytosol	GO
ZCRB1	Cytosol	GO
CSRP2	Plasma membrane	GO
REEP4	Endoplasmic reticulum	HPA;GO
BRSK2	Golgi apparatus	HPA
NCOA4	Cytosol	HPA
TUBGCP2	Cytosol	GO
ADAM19	Plasma membrane	GO
PRKAR1B	Cytosol	GO
WRNIP1	Nucleoplasm	HPA;GO
NPR1	Plasma membrane	HPA;GO
COA1	Mitochondria	HPA;GO
FBXL18	Nucleoplasm	HPA
TRPM7	Plasma membrane	HPA;GO
HNRNPCL1	Nucleoplasm	HPA
UBE2J2	Cytosol	GO
IL10RB	Plasma membrane	GO
TAF1D	Nucleoli	HPA
TLN1	Cytosol	HPA;GO
ARNT	Nucleoplasm	HPA;GO
RBMY1B	Nucleoplasm	HPA
DDHD2	Centrosome	HPA
PCM1	Cytosol	HPA;GO
LRFN2	Plasma membrane	HPA;GO
CASP7	Cytosol	GO
TOLLIP	Cytosol	HPA;GO
NEPRO	Nucleoplasm	HPA
BIRC2	Cytosol	HPA;GO
PPIL6	Nucleoli	HPA
HYOU1	Endoplasmic reticulum	GO
INO80C	Nucleoplasm	HPA;GO
APOBEC1	Nucleoplasm	GO
JPH2	Endoplasmic reticulum	GO
ACY1	Cytosol	GO
ZNF536	Plasma membrane	HPA
TTBK2	Primary cilium	HPA;GO
MED13	Nucleoplasm	HPA;GO
CIAPIN1	Nucleoplasm	HPA
USP27X	Nucleoplasm	HPA
WWC3	Actin filaments	HPA
EPB41L3	Cytosol	GO
GSTM5	Cytosol	HPA;GO
PIGS	Endoplasmic reticulum	GO
NLRC5	Centrosome	HPA
NOP16	Nucleoli	HPA
THEM4	Plasma membrane	GO
JAM3	Plasma membrane	GO
HERC4	Cytosol	HPA
SORT1	Golgi apparatus	HPA;GO
ENSG00000272980	Centrosome	HPA
FAM234B	Endoplasmic reticulum	HPA
MANBA	Plasma membrane	GO
CLEC18A	Golgi apparatus	GO
RNF2	Nucleoplasm	HPA;GO
APLF	Nucleoplasm	HPA;GO
ZKSCAN1	Mitochondria	HPA
ZNF576	Nucleoplasm	HPA
MTDH	Endoplasmic reticulum	HPA;GO
NADK2	Mitochondria	HPA;GO
ZNF155	Cytosol	HPA
PPP5C	Nucleoplasm	GO
ATP1A4	Primary cilium	GO
ASNSD1	Cytosol	HPA
MYL6	Actin filaments	GO
CEP350	Nucleoplasm	HPA
FASTKD1	Mitochondria	HPA;GO
AGBL4	Primary cilium	GO
STX6	Plasma membrane	GO
MT-ATP6	Mitochondria	GO
ANO9	Plasma membrane	GO
TUBGCP5	Microtubules	GO
RHO	Golgi apparatus	GO
CCL15	Golgi apparatus	HPA
NCR1	Plasma membrane	GO
CRYAB	Nucleoplasm	GO
ULBP3	Golgi apparatus	HPA
SLC46A2	Plasma membrane	GO
SCAP	Golgi apparatus	GO
C9orf131	Mitochondria	HPA
CSNK1D	Cytosol	HPA;GO
EHBP1	Cytosol	HPA
MYBBP1A	Nucleoli	HPA;GO
NCOA5	Nucleoplasm	HPA
PDZD8	Plasma membrane	HPA
ANXA5	Actin filaments	GO
TRAF5	Cytosol	HPA;GO
ADAM21	Plasma membrane	GO
DDX54	Golgi apparatus	HPA
RPS17	Actin filaments	GO
MUC20	Plasma membrane	HPA;GO
PSMG1	Endoplasmic reticulum	GO
RPS6KA6	Mitochondria	HPA
ENO3	Plasma membrane	HPA
ZC3H12B	Golgi apparatus	HPA
NT5C1B-RDH14	Nucleoli	HPA
NR1I3	Nucleoplasm	HPA;GO
RAMP1	Plasma membrane	GO
FASTKD3	Mitochondria	HPA;GO
NUCB2	Golgi apparatus	HPA
APOBEC3F	Cytosol	GO
FIP1L1	Cytosol	GO
TCHP	Centrosome	HPA;GO
RSU1	Cytosol	GO
TMSB4X	Cytosol	HPA
S100A3	Plasma membrane	HPA
CD47	Plasma membrane	HPA;GO
SLC7A3	Plasma membrane	GO
PCYT1A	Endoplasmic reticulum	GO
FUNDC2	Mitochondria	GO
FBH1	Nucleoplasm	GO
C1D	Nucleoplasm	HPA;GO
SLC25A48	Intermediate filaments	HPA
C18orf25	Cytosol	HPA
CNPY3	Endoplasmic reticulum	HPA;GO
RPS27A	Cytosol	HPA;GO
RTN4RL2	Plasma membrane	GO
COMTD1	Golgi apparatus	HPA
DLEC1	Cytosol	HPA
TRBC1	Plasma membrane	GO
CCDC59	Nucleoplasm	HPA;GO
ZNF92	Nucleoplasm	HPA
CITED1	Nucleoplasm	HPA;GO
ANAPC10	Cytosol	GO
OSBPL6	Nuclear membrane	GO
RENBP	Cytosol	GO
RRP1B	Cytosol	GO
CKAP5	Nucleoplasm	GO
CES3	Endoplasmic reticulum	HPA
VASN	Mitochondria	HPA
NUP35	Nuclear membrane	HPA
SH3GLB1	Microtubules	GO
GABARAPL2	Golgi apparatus	GO
TTBK1	Microtubules	GO
CCDC22	Nucleoplasm	GO
METAP1D	Mitochondria	GO
AZIN1	Cytosol	GO
C2CD5	Cytosol	HPA
CHRNB4	Endoplasmic reticulum	HPA
PITPNB	Endoplasmic reticulum	GO
NME7	Primary cilium	GO
CYFIP1	Plasma membrane	GO
NME3	Mitochondria	GO
ZNF397	Plasma membrane	HPA
KIAA2013	Cytosol	HPA
MOGAT2	Endoplasmic reticulum	GO
VASH1	Endoplasmic reticulum	GO
AKAP1	Mitochondria	HPA
ZWINT	Nucleoplasm	HPA;GO
C8orf48	Nucleoplasm	HPA
PINX1	Golgi apparatus	HPA
ARHGEF2	Plasma membrane	GO
SMYD2	Nucleoplasm	GO
CSGALNACT1	Golgi apparatus	HPA;GO
NBEA	Cytosol	HPA
GRHPR	Cytosol	HPA
GTPBP6	Nucleoplasm	HPA
NDUFA12	Mitochondria	HPA;GO
SLC34A1	Plasma membrane	HPA;GO
LEP	Plasma membrane	HPA
MBTD1	Nucleoplasm	HPA;GO
WNT2B	Nucleoplasm	HPA
FHIP2B	Cytosol	HPA
PFKP	Cytosol	HPA;GO
FOXO3	Nucleoplasm	HPA;GO
CANT1	Golgi apparatus	HPA
CNBP	Nucleoplasm	HPA
TMEM258	Plasma membrane	HPA
TNFRSF1A	Golgi apparatus	GO
AURKA	Nucleoplasm	GO
UBE3A	Cytosol	HPA
ACOX2	Cytosol	HPA;GO
CEP57	Microtubules	GO
RABEP2	Golgi apparatus	HPA
DUOXA1	Endoplasmic reticulum	GO
ARF6	Microtubules	GO
CAVIN1	Mitochondria	GO
SMC1A	Cytosol	HPA;GO
AMHR2	Nucleoplasm	HPA
PCP4	Nucleoplasm	HPA
TMEM150C	Plasma membrane	GO
GPRIN2	Microtubules	HPA
OR4D2	Plasma membrane	GO
ALG5	Cytosol	HPA
ASXL1	Nucleoplasm	HPA;GO
CAVIN3	Plasma membrane	HPA;GO
JRKL	Microtubules	HPA
TP53I3	Cytosol	GO
FOXK1	Nucleoli	HPA
TENT4A	Golgi apparatus	HPA
PDS5A	Nucleoplasm	HPA;GO
TRIM5	Cytosol	HPA;GO
GDI2	Plasma membrane	GO
TTLL9	Microtubules	HPA
MCF2L	Cytosol	GO
IGBP1P2	Microtubules	HPA
SLC25A44	Mitochondria	HPA
FICD	Endoplasmic reticulum	GO
SUMF2	Endoplasmic reticulum	GO
MVB12B	Plasma membrane	GO
PSMD6	Nucleoplasm	GO
ETV3	Nucleoplasm	HPA
UBE2H	Cytosol	GO
C4orf48	Cytosol	HPA
TRMT2A	Cytosol	HPA;GO
NANS	Cytosol	GO
SOCS1	Cytosol	GO
RBM6	Cytosol	HPA
WDFY4	Nucleoplasm	HPA
TMX2	Mitochondria	GO
PDE12	Mitochondria	GO
MRI1	Nucleoli	HPA
ZNF768	Nucleoplasm	HPA
MYLK2	Endoplasmic reticulum	HPA
SIX4	Nucleoplasm	HPA
N4BP2	Cytosol	HPA
SAMM50	Mitochondria	HPA;GO
KERA	Golgi apparatus	GO
HOXD9	Nucleoli	HPA
MAP2K6	Cytosol	HPA;GO
KCNH1	Plasma membrane	GO
GPR180	Primary cilium	HPA
PIK3R2	Golgi apparatus	HPA
DYNLL1	Nucleoplasm	HPA;GO
PXDC1	Plasma membrane	HPA
CRIP1	Centrosome	HPA
BRAP	Nuclear membrane	HPA
ZNF528	Nucleoplasm	HPA
SLC12A3	Plasma membrane	GO
RPL38	Actin filaments	GO
ABCB11	Plasma membrane	GO
NCKAP5	Cytosol	HPA
KCND2	Plasma membrane	GO
HRAS	Nucleoplasm	HPA
OSBPL3	Nuclear membrane	GO
CD248	Plasma membrane	HPA
TSC2	Golgi apparatus	GO
HIF3A	Cytosol	HPA;GO
KNDC1	Cytosol	HPA
GRIA1	Plasma membrane	GO
C9orf72	Cytosol	HPA;GO
TMEM14A	Mitochondria	GO
ALDH7A1	Mitochondria	HPA;GO
APEX2	Nucleoplasm	HPA
CACNA1B	Cytosol	HPA
CMSS1	Mitochondria	HPA
SECISBP2L	Nucleoplasm	HPA
PNMA6A	Mitochondria	HPA
ARHGEF11	Plasma membrane	HPA
METTL4	Mitochondria	HPA;GO
CEP250	Microtubules	GO
KRT33B	Cytosol	HPA;GO
DNAJC18	Plasma membrane	HPA
ACTN3	Cytosol	HPA;GO
ST7	Nucleoplasm	HPA
GLI3	Cytosol	GO
COA4	Mitochondria	HPA;GO
CLEC4C	Plasma membrane	GO
SLC25A31	Mitochondria	HPA
AFG2A	Microtubules	GO
COBL	Plasma membrane	HPA
TEX9	Centrosome	HPA;GO
H2BC6	Nucleoplasm	HPA
RPS13	Cytosol	GO
PRKCG	Cytosol	GO
RRP15	Nucleoplasm	HPA
ZCCHC10	Nucleoplasm	HPA
PSEN1	Cytosol	GO
RBM46	Nucleoli	HPA
NPM1	Centrosome	GO
ATP6V1G3	Cytosol	GO
CA4	Plasma membrane	GO
FTCD	Golgi apparatus	GO
PLCD3	Plasma membrane	HPA;GO
PRMT6	Nucleoli	HPA
GFRA1	Plasma membrane	GO
GPS1	Cytosol	HPA;GO
DEFA1	Golgi apparatus	GO
RAB21	Golgi apparatus	GO
C18orf32	Nucleoplasm	HPA
ANKRD36C	Cytosol	HPA
CLDN5	Actin filaments	GO
RILPL2	Primary cilium	HPA
LRRTM2	Plasma membrane	GO
RAB43	Plasma membrane	HPA
RIOK3	Cytosol	HPA;GO
GCSH	Mitochondria	GO
SYAP1	Golgi apparatus	HPA
CHERP	Nucleoplasm	GO
OSCAR	Nucleoplasm	HPA
MAPK10	Nucleoplasm	HPA;GO
YTHDC2	Nucleoplasm	HPA
FANCB	Cytosol	GO
PPP2R5C	Cytosol	GO
HS1BP3	Nucleoli	HPA
KIFAP3	Cytosol	GO
PRR5	Cytosol	GO
TRAPPC8	Cytosol	HPA;GO
CA5B	Mitochondria	HPA;GO
ABCA13	Centrosome	HPA
RHOD	Golgi apparatus	GO
RGS22	Cytosol	HPA
RAET1L	Plasma membrane	HPA;GO
UBTD1	Cytosol	HPA
RPL8	Actin filaments	GO
DCTN2	Cytosol	GO
SNX9	Golgi apparatus	GO
NET1	Cytosol	GO
GPR65	Cytosol	HPA
SUCLG2	Plasma membrane	HPA
CUL3	Plasma membrane	GO
ATP8B1	Endoplasmic reticulum	GO
PIGP	Endoplasmic reticulum	GO
TCERG1	Nucleoplasm	HPA;GO
CACNA1A	Plasma membrane	GO
RGS7BP	Cytosol	HPA
TOGARAM2	Plasma membrane	HPA
CFAP20	Microtubules	GO
PLEKHO2	Nucleoplasm	HPA
STX3	Nuclear membrane	HPA
GCHFR	Cytosol	GO
CCDC171	Nucleoli	HPA
INKA2	Nucleoli	HPA
OSBPL7	Cytosol	HPA;GO
TOR1A	Plasma membrane	GO
IRS4	Plasma membrane	GO
HSPA5	Plasma membrane	GO
PRKN	Mitochondria	GO
EIF6	Nucleoplasm	HPA
POU2F1	Endoplasmic reticulum	HPA
HLA-A	Plasma membrane	HPA;GO
KIFBP	Mitochondria	GO
PRKDC	Nucleoplasm	HPA;GO
NUP107	Cytosol	GO
CDKL5	Primary cilium	GO
GARIN1B	Cytosol	HPA
KLC3	Nucleoplasm	HPA
NENF	Endoplasmic reticulum	GO
PPP2R3A	Golgi apparatus	HPA
SPTBN2	Plasma membrane	HPA
TCF7L1	Cytosol	HPA
ZAP70	Plasma membrane	GO
AKAP10	Plasma membrane	HPA
DUS1L	Plasma membrane	HPA
FEM1A	Cytosol	HPA;GO
SETMAR	Nucleoli	HPA
MAD2L2	Nucleoplasm	HPA;GO
CDH2	Plasma membrane	HPA;GO
CHD1L	Nucleoplasm	HPA;GO
CEP135	Microtubules	GO
RDX	Actin filaments	GO
CFAP221	Primary cilium	HPA
RFPL3	Nucleoplasm	HPA
GRIN2D	Plasma membrane	GO
FMN2	Actin filaments	HPA;GO
WASHC4	Nucleoplasm	HPA
KIFC3	Centrosome	GO
ARHGAP28	Plasma membrane	HPA
BMT2	Cytosol	HPA;GO
ESCO2	Plasma membrane	HPA
ARFRP1	Golgi apparatus	HPA;GO
WDCP	Cytosol	HPA
OR1A1	Plasma membrane	GO
SSX2	Nucleoli	HPA
CEP83	Golgi apparatus	HPA
EXT1	Endoplasmic reticulum	GO
AFF3	Nucleoplasm	HPA
SART1	Nucleoplasm	HPA;GO
NEUROG1	Nucleoplasm	HPA
RPS11	Endoplasmic reticulum	HPA
MFGE8	Endoplasmic reticulum	GO
LBR	Nucleoli	HPA
MTX1	Mitochondria	HPA;GO
ARHGAP30	Cytosol	GO
BBS2	Cytosol	GO
NOXA1	Plasma membrane	GO
ASB18	Cytosol	GO
CLASP2	Nucleoplasm	GO
IER5L	Nucleoplasm	HPA
ATAT1	Golgi apparatus	HPA
DHRS1	Cytosol	HPA
ATP1A3	Plasma membrane	GO
KRT78	Cytosol	GO
INTS5	Nucleoplasm	HPA;GO
HSPB9	Nucleoplasm	HPA
ZNF878	Nucleoli	HPA
TRERF1	Nucleoli	HPA
RAB5IF	Cytosol	GO
BMP15	Endoplasmic reticulum	GO
KRT18	Centrosome	GO
RTCA	Nucleoplasm	HPA;GO
RBP2	Cytosol	GO
ANO6	Plasma membrane	HPA;GO
CA14	Plasma membrane	HPA;GO
USP42	Nucleoli	HPA
HOXB7	Nucleoplasm	HPA
WNT7A	Endoplasmic reticulum	GO
DNAI2	Microtubules	GO
NCDN	Cytosol	HPA;GO
ZSWIM5	Nucleoplasm	HPA
ARMCX4	Nucleoplasm	HPA
SERPINA10	Cytosol	HPA
F2R	Plasma membrane	GO
PYCR3	Cytosol	HPA;GO
IGKV3OR2-268	Cytosol	HPA
PHLDB2	Cytosol	HPA
CEP162	Microtubules	GO
GSTM2	Endoplasmic reticulum	GO
RTL6	Nucleoplasm	HPA
ABCA3	Nucleoplasm	HPA
DPM2	Endoplasmic reticulum	GO
WDR81	Nucleoplasm	HPA
GASK1B	Golgi apparatus	HPA
PBX1	Nucleoplasm	HPA;GO
FBXL20	Microtubules	HPA
NRSN1	Cytosol	HPA
SLC17A8	Plasma membrane	GO
CD99	Golgi apparatus	HPA
FBXO10	Nucleoplasm	HPA
LGALSL	Nucleoplasm	HPA
RPL10A	Endoplasmic reticulum	HPA
LRRC10B	Nucleoplasm	HPA
RHEB	Plasma membrane	GO
PROX1	Nucleoplasm	HPA
MED22	Nucleoplasm	HPA;GO
AMMECR1	Nucleoplasm	HPA
MLST8	Nucleoplasm	HPA;GO
RHOBTB2	Plasma membrane	HPA
SLC8A1	Nucleoplasm	HPA
GNAT1	Primary cilium	GO
TMEM250	Nucleoplasm	HPA
FKBP9	Golgi apparatus	HPA
PTPN12	Cytosol	HPA;GO
HSPD1	Primary cilium	GO
CADM3	Plasma membrane	GO
INMT	Golgi apparatus	HPA
RGN	Cytosol	HPA
TNPO2	Nucleoplasm	HPA
ZNF34	Cytosol	HPA
CENPL	Nucleoplasm	GO
ZNF771	Nucleoli	HPA
DENND1B	Cytosol	HPA;GO
FHL3	Nucleoplasm	HPA
DRD3	Plasma membrane	GO
MTRFR	Cytosol	HPA
CCDC137	Nucleoli	HPA
ABHD2	Primary cilium	GO
COPE	Golgi apparatus	HPA;GO
NCOA7	Nucleoplasm	HPA
NUTM2D	Nucleoplasm	HPA
KCNJ13	Nuclear membrane	HPA
ZNF143	Nucleoplasm	HPA;GO
RNF144A	Golgi apparatus	GO
RLBP1	Cytosol	HPA;GO
QSOX1	Golgi apparatus	HPA;GO
WDTC1	Nucleoplasm	GO
SLC6A4	Golgi apparatus	HPA
ELOVL4	Endoplasmic reticulum	GO
NUDT17	Nucleoplasm	HPA
RIIAD1	Cytosol	HPA
DCLRE1A	Nucleoplasm	HPA;GO
KLHDC8B	Cytosol	HPA
SCD	Endoplasmic reticulum	HPA;GO
CDC25B	Cytosol	GO
NPBWR1	Plasma membrane	GO
EIF4A3	Cytosol	GO
TMEM174	Endoplasmic reticulum	GO
ADPRM	Nucleoplasm	HPA
ACTR6	Nucleoli	GO
CFAP161	Primary cilium	GO
SESN3	Cytosol	HPA
MORN3	Plasma membrane	HPA
KCNAB1	Plasma membrane	HPA;GO
IPO11	Nucleoplasm	HPA
SS18L2	Mitochondria	HPA
TBX2	Cytosol	HPA
PAGE1	Nucleoplasm	HPA
FH	Cytosol	GO
ZNF93	Nucleoplasm	GO
EFNB1	Plasma membrane	HPA;GO
MON2	Nucleoplasm	HPA
BEX4	Microtubules	GO
ARSB	Golgi apparatus	HPA
COPA	Endoplasmic reticulum	GO
GLIPR2	Golgi apparatus	GO
TBRG1	Nucleoplasm	HPA
VTCN1	Plasma membrane	HPA;GO
KCNH4	Plasma membrane	GO
ARF1	Actin filaments	GO
PRF1	Cytosol	HPA
CLCA3P	Plasma membrane	GO
KRT27	Cytosol	GO
CFAP95	Plasma membrane	GO
CBLL1	Cytosol	GO
FAM210A	Nucleoplasm	HPA
IGFBP7	Endoplasmic reticulum	GO
SFXN5	Nucleoplasm	HPA
USP40	Actin filaments	HPA
NOD1	Plasma membrane	GO
METTL18	Cytosol	HPA;GO
AP1B1	Cytosol	HPA;GO
OTUD5	Cytosol	HPA;GO
OMG	Plasma membrane	GO
ITPK1	Cytosol	GO
G6PC2	Endoplasmic reticulum	GO
NPEPPS	Cytosol	HPA;GO
PINX1	Microtubules	GO
INSYN1	Nucleoplasm	HPA
AMFR	Endoplasmic reticulum	HPA;GO
HELLS	Golgi apparatus	HPA
ZNF639	Nucleoplasm	HPA
FBXO40	Cytosol	GO
CRELD1	Cytosol	HPA
SLC5A2	Plasma membrane	GO
NUGGC	Nucleoplasm	HPA
FAM90A8	Nucleoli	HPA
CHIC1	Nucleoplasm	HPA
PDE4C	Centrosome	HPA
TMEM45B	Nucleoplasm	HPA
GPHN	Cytosol	HPA
PRKCD	Plasma membrane	GO
TEKT1	Microtubules	GO
CSNK2A2	Cytosol	GO
ARHGEF10L	Cytosol	HPA;GO
BCKDHB	Mitochondria	HPA;GO
ZMYND10	Cytosol	HPA
DPY30	Golgi apparatus	HPA;GO
PWP1	Golgi apparatus	HPA
MRPS31	Mitochondria	HPA;GO
H2BC3	Cytosol	HPA
USP37	Nucleoli	HPA
PRKAB1	Nucleoplasm	HPA;GO
SLC15A1	Nucleoplasm	HPA
CDC123	Nucleoplasm	HPA
KLK7	Nuclear membrane	HPA
C11orf24	Golgi apparatus	HPA
ARHGAP21	Actin filaments	HPA
RSRC1	Nucleoplasm	HPA
C2orf49	Nucleoplasm	HPA;GO
ALG10B	Plasma membrane	GO
WAPL	Nucleoplasm	HPA;GO
CRPPA	Nucleoli	HPA
STBD1	Endoplasmic reticulum	HPA;GO
PUDP	Nucleoplasm	HPA
RPL27	Plasma membrane	GO
SAMHD1	Nucleoplasm	HPA;GO
HOXC9	Nucleoplasm	HPA
PARD6A	Cytosol	HPA;GO
CACNB4	Cytosol	GO
RAC3	Endoplasmic reticulum	GO
ZFYVE27	Cytosol	HPA
MEIOSIN	Nucleoplasm	HPA
ATXN7L2	Nucleoli	HPA
CRMP1	Cytosol	HPA;GO
ZNF793	Nucleoli	HPA
PRDM2	Nucleoplasm	HPA
NCSTN	Cytosol	HPA
RPS10	Cytosol	HPA;GO
ZC3H4	Cytosol	HPA
ENSG00000283886	Cytosol	HPA
PRSS3	Endoplasmic reticulum	HPA
XIRP1	Plasma membrane	GO
EPG5	Nucleoplasm	HPA
C5orf63	Mitochondria	HPA
RAB11A	Plasma membrane	GO
FGFR4	Plasma membrane	GO
IYD	Plasma membrane	HPA;GO
CCDC126	Golgi apparatus	HPA
CNGB3	Plasma membrane	GO
APP	Golgi apparatus	HPA;GO
RPS15A	Nucleoplasm	GO
CYP2W1	Endoplasmic reticulum	GO
NIM1K	Cytosol	HPA
RDH12	Plasma membrane	GO
PDCD5	Cytosol	HPA
KNL1	Cytosol	GO
SLC27A2	Plasma membrane	GO
TRIM21	Cytosol	GO
NCBP1	Nucleoplasm	HPA;GO
PAK3	Plasma membrane	GO
TF	Endoplasmic reticulum	GO
FAM149A	Golgi apparatus	HPA
HSD17B2	Endoplasmic reticulum	HPA;GO
UGT1A9	Endoplasmic reticulum	GO
UBE2D3	Cytosol	GO
FAM131B	Nucleoplasm	HPA
STXBP5	Cytosol	HPA
HES1	Nucleoplasm	HPA;GO
RASGRP1	Plasma membrane	HPA;GO
TREM1	Golgi apparatus	HPA
FSTL1	Endoplasmic reticulum	GO
MED29	Nucleoplasm	HPA;GO
UBE2A	Nucleoplasm	HPA;GO
AP2M1	Cytosol	GO
RCC1	Nucleoplasm	HPA;GO
CCDC34	Nuclear membrane	HPA
DYNC2H1	Mitochondria	HPA
IKZF5	Cytosol	HPA
YWHAQ	Plasma membrane	GO
LZTR1	Golgi apparatus	GO
MAT1A	Nucleoplasm	HPA
MMP10	Cytosol	HPA
LYSMD2	Nucleoplasm	HPA
IL5RA	Plasma membrane	GO
RNH1	Nucleoplasm	HPA
NCCRP1	Cytosol	HPA
LRRC31	Nucleoplasm	HPA
COL21A1	Endoplasmic reticulum	GO
SOS1	Cytosol	HPA;GO
ZNF835	Microtubules	HPA
KLHDC7B	Plasma membrane	HPA
RAPGEF5	Nucleoplasm	HPA
SRGAP3	Cytosol	HPA;GO
LRRK2	Mitochondria	GO
PWWP2B	Nucleoplasm	HPA
ALG2	Golgi apparatus	HPA
NUP62	Nuclear membrane	HPA
HSPB8	Nucleoplasm	HPA;GO
FAM81A	Cytosol	HPA
TMEM183A	Plasma membrane	HPA
PML	Nuclear membrane	GO
OR2B11	Plasma membrane	GO
MED21	Nucleoli	HPA
HSPA1A	Plasma membrane	GO
OXCT2	Mitochondria	GO
MGAT3	Golgi apparatus	GO
LYPD6	Cytosol	HPA
MCOLN3	Plasma membrane	GO
TTC3	Nucleoplasm	HPA
ACSM2B	Mitochondria	GO
SHMT2	Microtubules	HPA
CPT1A	Mitochondria	HPA;GO
KPNA3	Cytosol	GO
NOC3L	Nucleoli	HPA
FGR	Cytosol	HPA;GO
FAM13C	Nucleoplasm	HPA
SMARCD3	Nucleoplasm	HPA;GO
APOE	Plasma membrane	GO
